"requirement_id","chapter_id","page","tab","control_type","visible_label","event_ids","status"
"CH13-R007","CH13","Nueva compra","","catalog_action","Presentación / + Presentación","CH13-E0024 | CH13-E0025 | CH13-E0052 | CH13-E0055","NEEDS_CLIENT_CONFIRMATION"
"CH13-R008","CH13","Nueva compra","","line_ledger","Añadir / eliminar / tabla de ítems","CH13-E0027 | CH13-E0028 | CH13-E0029 | CH13-E0058 | CH13-E0059","IMPLEMENTED_EXACT"
"CH13-R009","CH13","Nueva compra caja menuda","","form","Fecha / Proveedor / Número de factura / Archivo Factura / Observaciones","CH13-E0034 | CH13-E0035 | CH13-E0040 | CH13-E0041","IMPLEMENTED_PARTIAL"
"CH13-R010","CH13","Nueva compra caja menuda","","money_inputs","Monto impuesto / Monto descuento","CH13-E0056 | CH13-E0057 | CH13-E0064 | CH13-E0072","IMPLEMENTED_EXACT"
"CH13-R011","CH13","Nueva compra caja menuda","","financial_summary","Subtotal / Descuentos / Extra / Impuesto / Total","CH13-E0060 | CH13-E0061 | CH13-E0069 | CH13-E0070 | CH13-E0071","IMPLEMENTED_EXACT"
"CH13-R012","CH13","Nueva compra","","form_actions","Atrás / Guardar","CH13-E0029 | CH13-E0030 | CH13-E0077 | CH13-E0078","IMPLEMENTED_PARTIAL"
"CH13-R013","CH13","Compras","","status_badges","Compra Recibida / Pendiente / Registro PT","CH13-E0004 | CH13-E0080 | CH13-E0081","NEEDS_CLIENT_CONFIRMATION"
"CH13-R014","CH13","Detalles de compra","","detail_modal","Fecha / # Orden / # Factura / Estado / Categoría / Proveedor / Observaciones / Archivos / ítems / totales","CH13-E0083 | CH13-E0084 | CH13-E0085 | CH13-E0089","IMPLEMENTED_EXACT"
"CH13-R015","CH13","Compras","","row_menu","Ver / Editar detalles / Copiar / Imprimir PDF / Imprimir con montos / Imprimir en Excel / Anular","CH13-E0082 | CH13-E0091","IMPLEMENTED_PARTIAL"
"CH13-R016","CH13","Compras / Inventario","","workflow","Compra recibida y entrada de inventario","CH13-E0078 | CH13-E0080","NEEDS_CLIENT_CONFIRMATION"
"CH13-R017","CH13","Nueva compra","","error_state","Validaciones y errores","CH13-E0007 | CH13-E0035 | CH13-E0077","NOT_TESTABLE"
"CH13-R018","CH13","Compras","","print_export","PDF / con montos / Excel","CH13-E0091","NEEDS_CLIENT_CONFIRMATION"
"CH09-R001","CH09","Shell / Hospitalización clínica","","navigation","Clínica / Hospitalización clínica","CH09-E0002 | CH09-E0003 | CH09-E0069","IMPLEMENTED_EXACT"
"CH09-R002","CH09","Hospitalización clínica","","filters","Estado / Activado por / Tipo de servicio / Tipo de atención","CH09-E0004 | CH09-E0011","IMPLEMENTED_PARTIAL"
"CH09-R003","CH09","Hospitalización clínica","","table","Paciente / DUI/NIT / Hospitalización / Triage / Empresa / Clínico / Inicio / Fin / Duración","CH09-E0012 | CH09-E0015 | CH09-E0069","IMPLEMENTED_EXACT"
"CH09-R004","CH09","Hospitalización clínica","","menu","Cotizaciones / Perfil clínico / Relevos / Reingresos / Reinfecciones / Ulceraciones / Near miss","CH09-E0016","IMPLEMENTED_PARTIAL"
"CH09-R005","CH09","Perfiles Clínicos","","modal_table","Perfiles Clínicos / Nuevo perfil clínico","CH09-E0017 | CH09-E0021 | CH09-E0067","IMPLEMENTED_EXACT"
"CH09-R006","CH09","Detalles de Hospitalización","","form","Paciente / DUI/NIT / Hospitalización / Estatus","CH09-E0022 | CH09-E0065","IMPLEMENTED_EXACT"
"CH09-R007","CH09","Detalles de Hospitalización","","form","Diagnóstico / grupo / triage / perfil / tipo / responsables / frecuencias / servicio","CH09-E0023 | CH09-E0040 | CH09-E0054","IMPLEMENTED_PARTIAL"
"CH09-R008","CH09","Detalles de Hospitalización","","autocomplete","Diagnóstico clínico codificado","CH09-E0027 | CH09-E0038","NEEDS_CLIENT_CONFIRMATION"
"CH09-R009","CH09","Detalles de Hospitalización","","select","Médico tratante / Otros médicos / Coordinador clínico","CH09-E0022 | CH09-E0064","IMPLEMENTED_EXACT"
"CH09-R010","CH09","Detalles de Hospitalización","","structured_table","Dispositivo / Fecha / Calibre / Motivo / Frecuencia / Observaciones","CH09-E0055 | CH09-E0058","IMPLEMENTED_EXACT"
"CH09-R011","CH09","Detalles de Hospitalización","","date_range","Rango de fechas para turnos / frecuencia / atención","CH09-E0059 | CH09-E0061","IMPLEMENTED_EXACT"
"CH09-R012","CH09","Detalles de Hospitalización","","attachment","Adjuntos","CH09-E0022","NEEDS_CLIENT_CONFIRMATION"
"CH09-R013","CH09","Perfiles Clínicos","","state_transition","Borrador / Activo / Finalizado","CH09-E0065 | CH09-E0067","NEEDS_CLIENT_CONFIRMATION"
"CH09-R014","CH09","Reporte de salud","","table","Cédula / Nombre / Empresa / Hospitalización / Período / Auditoría / Triage / Estatus","CH09-E0070 | CH09-E0075 | CH09-E0094","IMPLEMENTED_EXACT"
"CH09-R015","CH09","Reporte de salud","","menu","Historia clínica / Claims / Visitas / Notas de servicio / Reporte de salud / Auditorías / Registro XPO","CH09-E0076 | CH09-E0098","IMPLEMENTED_PARTIAL"
"CH09-R016","CH09","Detalle reporte de salud","","date_range","Rango fechas / Cargar / Procesando","CH09-E0078 | CH09-E0085 | CH09-E0104 | CH09-E0113","IMPLEMENTED_EXACT"
"CH09-R017","CH09","Detalle reporte de salud","","tabs","Main / Evaluation / Medical / Treatments / Events / Evidence","CH09-E0078 | CH09-E0089 | CH09-E0112","IMPLEMENTED_EXACT"
"CH09-R018","CH09","Detalle reporte de salud","Información Principal","detail","Datos paciente / hospitalización / estado / seguro","CH09-E0078 | CH09-E0089","IMPLEMENTED_PARTIAL"
"CH09-R019","CH09","Detalle reporte de salud","","longitudinal_sections","Evaluación / atención / órdenes / eventos / evidencia","CH09-E0112 | CH09-E0113","IMPLEMENTED_EXACT"
"CH09-R020","CH09","Configuration report","","dual_list_order","Títulos disponibles / Reporte / Include attached documents","CH09-E0114 | CH09-E0126","IMPLEMENTED_PARTIAL"
"CH09-R021","CH09","Configuration report","","ordered_selection","Signos vitales / medicamentos / gráfico / condición / evidencias / recetas","CH09-E0116 | CH09-E0117","IMPLEMENTED_EXACT"
"CH09-R022","CH09","Configuration report","","print","Cerrar / Imprimir","CH09-E0125 | CH09-E0127","IMPLEMENTED_PARTIAL"
"CH09-R023","CH09","Configuration report","","external_result","Resultado PDF del video","CH09-E0127 | CH09-E0130","NOT_TESTABLE"
"CH09-R024","CH09","Reporte de salud","","state","Carga / poblado / vacío / error","CH09-E0071 | CH09-E0074 | CH09-E0091 | CH09-E0094 | CH09-E0136 | CH09-E0137","IMPLEMENTED_PARTIAL"
"CH09-R025","CH09","Perfil y reporte","","validation","Fechas clínicas de calendario","CH09-E0059 | CH09-E0109","IMPLEMENTED_EXACT"
"CH10-R001","CH10","Orden Médica","","tabs_table","Activos / Inactivos / Tratamientos con cambios / Actualizaciones","CH10-E0008 | CH10-E0009 | CH10-E0065","IMPLEMENTED_PARTIAL"
"CH10-R002","CH10","Orden Médica","","modal_choice","Orden Médica / Tarjeta de medicamentos","CH10-E0011 | CH10-E0067","IMPLEMENTED_EXACT"
"CH10-R003","CH10","Orden / Tarjeta","","form_header","Paciente / cédula / hospitalización / triage / médicos / diagnósticos","CH10-E0013 | CH10-E0018 | CH10-E0071","IMPLEMENTED_EXACT"
"CH10-R004","CH10","Configuración de tratamientos","","structured_form","Medicamento / médico / vía / dosis / frecuencia / duración / fechas / crónico / horarios / indicaciones / diluciones","CH10-E0020 | CH10-E0050","IMPLEMENTED_PARTIAL"
"CH10-R005","CH10","Configuración de tratamientos","","catalog","Vías / frecuencias / duraciones / horarios / PRN","CH10-E0021 | CH10-E0028 | CH10-E0031 | CH10-E0042","NEEDS_CLIENT_CONFIRMATION"
"CH10-R006","CH10","Configuración de tratamientos","","date_derivation","Inicio / duración / fin","CH10-E0035 | CH10-E0038","NEEDS_CLIENT_CONFIRMATION"
"CH10-R007","CH10","Orden médica nueva","","section_builder","Etiquetas para el reporte / editores por sección","CH10-E0075 | CH10-E0086 | CH10-E0091","IMPLEMENTED_PARTIAL"
"CH10-R008","CH10","Órdenes","","modal_tabs","Órdenes médicas / Tarjetas de medicamentos / Historial de tratamientos","CH10-E0101 | CH10-E0105 | CH10-E0114","IMPLEMENTED_PARTIAL"
"CH10-R009","CH10","Tarjeta de medicamentos","","print_menu","Tarjeta completa / Tarjeta simple / Conteo presencial","CH10-E0109","NEEDS_CLIENT_CONFIRMATION"
"CH10-R010","CH10","Orden / Tarjeta","","safety_policy","Firma / corrección / anulación","CH10-E0112","NOT_TESTABLE"
"CH11-R001","CH11","Agenda","","calendar_filters","Detalles de visitas / Paciente / Recurso / Mes / Semana / Listas","CH11-E0007 | CH11-E0009 | CH11-E0015","IMPLEMENTED_EXACT"
"CH11-R002","CH11","Agenda","","search_select","Selector buscable de paciente","CH11-E0010 | CH11-E0011 | CH11-E0015","IMPLEMENTED_EXACT"
"CH11-R003","CH11","Agenda","","action_group","Eliminar visitas / Crear / Pool / enlace","CH11-E0015 | CH11-E0019","IMPLEMENTED_PARTIAL"
"CH11-R004","CH11","Crear turno a paciente","","structured_form","Paciente / cédula / empresa / inicio / fin / frecuencia / número / clasificación / tipo / descuento","CH11-E0021 | CH11-E0025","IMPLEMENTED_EXACT"
"CH11-R005","CH11","Crear turno a paciente","","catalogs","Puntual / Turno / catálogo de tipos de visita","CH11-E0026 | CH11-E0029 | CH11-E0041","IMPLEMENTED_EXACT"
"CH11-R006","CH11","Crear turno a paciente","","recurrence","Frecuencia / Número de veces","CH11-E0021 | CH11-E0025","NEEDS_CLIENT_CONFIRMATION"
"CH11-R007","CH11","Detalle de visita","","modal_tabs","Agenda / Actualizaciones / inicio / fin / paciente / hospitalización / recurso / observaciones","CH11-E0050 | CH11-E0058","IMPLEMENTED_PARTIAL"
"CH11-R008","CH11","Detalle de visita","","assignment","Recursos","CH11-E0050 | CH11-E0051","IMPLEMENTED_EXACT"
"CH11-R009","CH11","Detalle de visita","","financial_controls","Tipo de turno / Tarifa / descuento / Editar pago / Motivo / Monto / Comentario","CH11-E0051 | CH11-E0055 | CH11-E0057","NEEDS_CLIENT_CONFIRMATION"
"CH11-R010","CH11","Navegación","","navigation_group","Agenda / Disponibilidades / Control de Visitas / Asignación de turnos / Nueva Agenda","CH11-E0004 | CH11-E0069","NOT_TESTABLE"
"CH12-R001","CH12","Cuentas por pagar","","tabs","Resumen / Pagos de Servicio","CH12-E0001 | CH12-E0005 | CH12-E0006","IMPLEMENTED_EXACT"
"CH12-R002","CH12","Cuentas por pagar","Resumen","summary_tables","Facturas / Reclamos","CH12-E0001 | CH12-E0004","IMPLEMENTED_PARTIAL"
"CH12-R003","CH12","Cuentas por pagar","Resumen","action_group","Generar planilla / Restricciones / Descargar / Limpiar Tabla","CH12-E0001","IMPLEMENTED_PARTIAL"
"CH12-R004","CH12","Cuentas por pagar","Pagos de Servicio","filter_panel","Fecha desde / Fecha hasta / Recurso / Estado / Cerrar / Limpiar / Aplicar","CH12-E0007 | CH12-E0013 | CH12-E0015","IMPLEMENTED_EXACT"
"CH12-R005","CH12","Cuentas por pagar","Pagos de Servicio","data_table","Recurso / Fecha Visita / Paciente / Monto / Estatus / Est. Visita","CH12-E0006 | CH12-E0016 | CH12-E0020","IMPLEMENTED_EXACT"
"CH12-R006","CH12","Cuentas por pagar","Pagos de Servicio","search_pagination","Selección / búsqueda / cantidad de registros / paginación","CH12-E0004 | CH12-E0047 | CH12-E0048","IMPLEMENTED_EXACT"
"CH12-R007","CH12","Pago de servicios profesionales","","modal_form","Fecha / Hospitalización / Recurso / Paciente / Tarifa / Monto / Estatus / Comentarios / Conceptos","CH12-E0021 | CH12-E0022 | CH12-E0024","IMPLEMENTED_PARTIAL"
"CH12-R008","CH12","Agregar Concepto","","modal_form","Tipo / Motivo / Monto / Comentario / Añadidura / Descuento","CH12-E0025 | CH12-E0026 | CH12-E0034","IMPLEMENTED_PARTIAL"
"CH12-R009","CH12","Agregar Concepto","","catalogs","Motivos visibles de añadidura y descuento","CH12-E0029 | CH12-E0035 | CH12-E0037","IMPLEMENTED_EXACT"
"CH12-R010","CH12","Cuentas por pagar","Pagos de Servicio","action_group","Editar Grupo / Reporte Por Recurso / reporte parcialmente oculto","CH12-E0006 | CH12-E0015","NEEDS_CLIENT_CONFIRMATION"
"CH12-R011","CH12","Pago de servicios profesionales","","form_actions","Cancelar / Guardar","CH12-E0042 | CH12-E0044 | CH12-E0045","IMPLEMENTED_PARTIAL"
"CH12-R012","CH12","Cuentas por pagar","","financial_workflow","Corte quincenal y reporte consolidado descritos verbalmente","CH12-E0001 | CH12-E0050","NEEDS_CLIENT_CONFIRMATION"
"CH14-R001","CH14","Gestión de inventario","","tabs","Items / Movimientos / Comprometido / Lotes","CH14-E0004 | CH14-E0006","IMPLEMENTED_EXACT"
"CH14-R002","CH14","Gestión de inventario","","data_table","Bodega / Tipo / Código / Nombre / Disp / Comp / Total","CH14-E0005 | CH14-E0006 | CH14-E0012","IMPLEMENTED_PARTIAL"
"CH14-R003","CH14","Gestión de inventario","","button","Excel","CH14-E0005","IMPLEMENTED_PARTIAL"
"CH14-R004","CH14","Movimientos de item","","modal_table","Rango de fechas / Lote o serie / Origen / Destino / Entrada o salida / Estado","CH14-E0014 | CH14-E0016 | CH14-E0018 | CH14-E0023","IMPLEMENTED_PARTIAL"
"CH14-R005","CH14","Movimientos","","inventory_workflow","Entradas / salidas / compromiso / consumo / devolución / traslado / ajuste / baja","CH14-E0018 | CH14-E0027","IMPLEMENTED_PARTIAL"
"CH14-R006","CH14","Inventario comprometido","","derived_state","Comprometido","CH14-E0018","NEEDS_CLIENT_CONFIRMATION"
"CH14-R007","CH14","Inventario / Acuses","","tabs_table","Pacientes / Recursos / No disponible / Solicitudes / Tareas","CH14-E0029 | CH14-E0030 | CH14-E0031","IMPLEMENTED_PARTIAL"
"CH14-R008","CH14","Inventario / Acuses","","row_menu","Nuevo / Ver / Excel / XPO / Duplicar / Editar / Asignar / Imprimir / Faltantes / Eliminar","CH14-E0032 | CH14-E0035 | CH14-E0038 | CH14-E0039","NEEDS_CLIENT_CONFIRMATION"
"CH14-R009","CH14","Acuse nuevo","","form","Paciente / Fecha / Hospitalización / Bodega / Item / Disponible / Asignar / Vaciar / Plantilla / Añadir","CH14-E0147 | CH14-E0148 | CH14-E0149 | CH14-E0152","IMPLEMENTED_PARTIAL"
"CH14-R010","CH14","Acuse nuevo","","inventory_exception","Items faltantes","CH14-E0152","NEEDS_CLIENT_CONFIRMATION"
"CH14-R011","CH14","Inventario / Cierres","","tabs_table","Pendientes / Cierres totales / Cerrados / Recursos","CH14-E0041 | CH14-E0047 | CH14-E0049 | CH14-E0056","IMPLEMENTED_PARTIAL"
"CH14-R012","CH14","Advertencia","","confirmation_dialog","Cancelar / Aceptar","CH14-E0043 | CH14-E0044 | CH14-E0045","IMPLEMENTED_EXACT"
"CH14-R013","CH14","Cierres totales","","row_menu","Editar / Imprimir / Aprobar / Cancelar","CH14-E0050 | CH14-E0051 | CH14-E0052 | CH14-E0053 | CH14-E0054","NEEDS_CLIENT_CONFIRMATION"
"CH14-R014","CH14","Inventario / Proveedores","","catalog_table","Código / Empresa / Contacto / Teléfono / Correo / Dirección / Nuevo / Editar","CH14-E0058 | CH14-E0059 | CH14-E0061 | CH14-E0064","IMPLEMENTED_PARTIAL"
"CH14-R015","CH14","Items / Bodegas","","catalog_table","Estado / Nombre / Descripción / Fecha de creación / Nuevo / Editar","CH14-E0069 | CH14-E0070 | CH14-E0071 | CH14-E0073","IMPLEMENTED_PARTIAL"
"CH14-R016","CH14","Inventario / Bodegas","","inventory_workflow","Traslados","CH14-E0005 | CH14-E0069","IMPLEMENTED_PARTIAL"
"CH14-R017","CH14","Inventario: Lotes y números de serie","","catalog_table","Número / Descripción / Item / Fecha E - Fecha V / Estado","CH14-E0076 | CH14-E0078 | CH14-E0081 | CH14-E0092","IMPLEMENTED_PARTIAL"
"CH14-R018","CH14","Lotes y números de serie","","safety_state","Fecha inválida con estado activo","CH14-E0082 | CH14-E0083 | CH14-E0084 | CH14-E0087","IMPLEMENTED_PARTIAL"
"CH14-R019","CH14","Inventario / Kit de insumos","","catalog_table","Excel / Nuevo / Editar / Duplicar / Eliminar","CH14-E0094 | CH14-E0095 | CH14-E0096 | CH14-E0098 | CH14-E0101","IMPLEMENTED_PARTIAL"
"CH14-R020","CH14","Kit de insumos","","modal_form","Nombre / Item / Cantidad / Añadir / Quitar","CH14-E0104 | CH14-E0105 | CH14-E0106 | CH14-E0107 | CH14-E0108 | CH14-E0117","IMPLEMENTED_PARTIAL"
"CH14-R021","CH14","Kit de insumos","","atomic_inventory_workflow","Descarga automática de componentes","CH14-E0104 | CH14-E0117","NEEDS_CLIENT_CONFIRMATION"
"CH14-R022","CH14","Acuse nuevo","","ambiguous_workflow","Faltar una cotización","CH14-E0152","NEEDS_CLIENT_CONFIRMATION"
"CH14-R023","CH14","Inventario","","error_state","Validaciones y recuperación","CH14-E0006 | CH14-E0152","NOT_TESTABLE"
"CH14-R024","CH14","Inventario","","external_result","Resultado de Excel e impresión","CH14-E0035 | CH14-E0052 | CH14-E0095","NOT_TESTABLE"
"CH15-R001","CH15","Inventario / Acuse nuevo","","inventory_exception","Disponible / Requerido / Acuse creado / Agregar al acuse","CH15-E0003 | CH15-E0009","NEEDS_CLIENT_CONFIRMATION"
"CH15-R002","CH15","Solicitudes desde la casa del paciente","","modal_table","Bodega / Tipo / Código / Nombre / Disponibilidad / Cantidad / Faltante / Acusar","CH15-E0013 | CH15-E0017","NEEDS_CLIENT_CONFIRMATION"
"CH15-R003","CH15","Acuse nuevo","","form","Paciente / Fecha / Hospitalización / Bodega / Item / Disponible / Cantidad / Vaciar / Plantilla / Añadir","CH15-E0020","IMPLEMENTED_PARTIAL"
"CH15-R004","CH15","Añadir plantilla","","copy_workflow","Plantilla / Cotización / Bodega / referencia / Tipo / Código / Descripción / Cantidad","CH15-E0023 | CH15-E0032","IMPLEMENTED_PARTIAL"
"CH15-R005","CH15","Añadir plantilla","","select","En ejecución / Finalizado","CH15-E0029","NEEDS_CLIENT_CONFIRMATION"
"CH15-R006","CH15","Items / Medicamentos","","catalog_form","Código / nombre / principio activo / concentración / presentación / fabricante / vía / banderas","CH15-E0046 | CH15-E0047","IMPLEMENTED_PARTIAL"
"CH15-R007","CH15","Formularios de catálogo","","confirmation_dialog","Salir / Cancelar / Aceptar","CH15-E0052 | CH15-E0071 | CH15-E0114","IMPLEMENTED_EXACT"
"CH15-R008","CH15","Items / Insumos","","catalog_form","Código / Nombre / Tipo / Fabricante / Descripción / banderas","CH15-E0067 | CH15-E0068","IMPLEMENTED_EXACT"
"CH15-R009","CH15","Items / Estudios Dx","","data_table","Código / Nombre / Descripción / Impuesto / Descuento / Estado / búsqueda / paginación / Excel / alta","CH15-E0084","IMPLEMENTED_PARTIAL"
"CH15-R010","CH15","Items / Honorarios","","catalog_form","Código / Nombre / Recurso / Descuento / Impuesto / Giftcard","CH15-E0094 | CH15-E0097","IMPLEMENTED_PARTIAL"
"CH15-R011","CH15","Items / Honorario nuevo","","submit","Procesando / guardado exitosamente","CH15-E0100 | CH15-E0101","IMPLEMENTED_EXACT"
"CH15-R012","CH15","Items / Honorario editar","","row_actions","Editar / costos de compra / precios de venta / cuentas / Inactivar","CH15-E0110 | CH15-E0113","IMPLEMENTED_PARTIAL"
"CH15-R013","CH15","Items / Servicios","","data_table","Código / Nombre / Tipo de producto / Categoría / Impuesto / Descuento / Estado","CH15-E0122 | CH15-E0128","IMPLEMENTED_PARTIAL"
"CH15-R014","CH15","Descuentos","","data_table","Servicios / Laboratorios / Medicamentos / Equipos / Insumos / Honorarios","CH15-E0144 | CH15-E0148","IMPLEMENTED_PARTIAL"
"CH15-R015","CH15","Items / Insumo nuevo","","business_rule","Lotes para uso interno","CH15-E0068","NEEDS_CLIENT_CONFIRMATION"
"CH15-R016","CH15","Items / Honorario nuevo","","relation","Recurso","CH15-E0097","NEEDS_CLIENT_CONFIRMATION"
"CH16-R001","CH16","Descuentos","","data_table","Servicios / Estudios / Medicamentos / Insumos / Equipos / Honorarios / Extras","CH16-E0001 | CH16-E0018","IMPLEMENTED_EXACT"
"CH16-R002","CH16","Descuentos","","filter_pagination_export","Buscar / registros / Anterior / Siguiente / Excel","CH16-E0013 | CH16-E0030","IMPLEMENTED_EXACT"
"CH16-R003","CH16","Descuentos","","matrix_validation","Porcentaje 0% / exclusiones","CH16-E0003 | CH16-E0024","IMPLEMENTED_EXACT"
"CH16-R004","CH16","Nuevo perfil de descuento","","form","Nombre / tipo / fechas / estado / motivo / aprobación / aprobador / límite / combinabilidad","CH16-E0035","IMPLEMENTED_EXACT"
"CH16-R005","CH16","Nuevo perfil de descuento","","eligibility_configuration","Paciente / aseguradora / empresa / jubilado","CH16-E0034 | CH16-E0035","IMPLEMENTED_EXACT"
"CH16-R006","CH16","Cotización","","approval_workflow","Solicitar aprobación / recalcular","CH16-E0035 | CH16-E0039","IMPLEMENTED_EXACT"
"CH16-R007","CH16","Descuentos","","loading_empty_error","Carga / actualización tras guardar","CH16-E0036 | CH16-E0039","IMPLEMENTED_PARTIAL"
"CH16-R008","CH16","Reporte de salud","","navigation","Reporte de salud","CH16-E0041 | CH16-E0044","NEEDS_CLIENT_CONFIRMATION"
"CH16-R009","CH16","Documentos clínicos","","verbal_rule","Bloqueo de edición clínica","CH16-E0003","NEEDS_CLIENT_CONFIRMATION"
"CH17-R001","CH17","Reporte de salud","","search_pagination","Paciente / documento / hospitalización / triage / auditoría","CH17-E0001 | CH17-E0005 | CH17-E0011","IMPLEMENTED_EXACT"
"CH17-R002","CH17","Reporte de salud","","tabs","Información Principal / Evaluación Clínica / Atención Médica / Tratamientos y Órdenes / Eventos Clínicos / Evidencia y Documentos","CH17-E0005 | CH17-E0019 | CH17-E0024","IMPLEMENTED_EXACT"
"CH17-R003","CH17","Reporte de salud","","date_range","Cambiar rango de fechas / Cargar / Procesando","CH17-E0012 | CH17-E0013 | CH17-E0016","IMPLEMENTED_EXACT"
"CH17-R004","CH17","Información Principal","","details_table","Paciente / hospitalización / seguros seleccionables","CH17-E0019 | CH17-E0021","IMPLEMENTED_EXACT"
"CH17-R005","CH17","Reporte de salud","","print_configuration","Imprimir / Configuration report","CH17-E0008 | CH17-E0021 | CH17-E0043","IMPLEMENTED_PARTIAL"
"CH17-R006","CH17","Evaluación Clínica","","nested_tabs","Antecedentes / alergias / dispositivos","CH17-E0024 | CH17-E0026 | CH17-E0027","IMPLEMENTED_PARTIAL"
"CH17-R007","CH17","Antecedentes y evaluaciones","","catalog_mutation","Alergias / Agregar","CH17-E0029 | CH17-E0030 | CH17-E0031","NEEDS_CLIENT_CONFIRMATION"
"CH17-R008","CH17","Signos vitales","","nested_sections","Gráficos / registros clínicos / signos cargados por el paciente","CH17-E0038 | CH17-E0039 | CH17-E0042","IMPLEMENTED_EXACT"
"CH17-R009","CH17","Notas de enfermería","","search_pagination_print","Buscar / imprimir / fecha / turno / recurso / nota","CH17-E0043 | CH17-E0046","IMPLEMENTED_EXACT"
"CH17-R010","CH17","Notas de enfermería","","correction_void_audit","Corrección / addendum / enmienda / anulación / auditoría","CH17-E0047 | CH17-E0048","IMPLEMENTED_EXACT"
"CH17-R011","CH17","Notas de enfermería","","external_ai","Auditar con IA","CH17-E0048","NEEDS_CLIENT_CONFIRMATION"
"CH17-R012","CH17","Notas de enfermería","","secure_notification","Compartir","CH17-E0048","IMPLEMENTED_PARTIAL"
